id,kode,nama,path,factory,perm_name,disabled,created,updated,create_uid
124,"rekon-esamsat","Rekon e-Samsat","/rekon-esamsat",,"read",0,"2015-03-08 16:45:45",,1
125,"rekon-esamsat-act","Baca Rekon e-Samsat","/rekon-esamsat/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
126,"rekon-esamsat-edit","Edit Rekon e-Samsat","/rekon-esamsat/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
127,"rekon-esamsat-delete","Hapus Rekon e-Samsat","/rekon-esamsat/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
128,"rekon-epap","Rekon e-PAP","/rekon-epap",,"read",0,"2015-03-08 16:45:45",,1
129,"rekon-epap-act","Baca Rekon e-PAP","/rekon-epap/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
130,"rekon-epap-edit","Edit Rekon e-PAP","/rekon-epap/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
131,"rekon-epap-delete","Hapus Rekon e-PAP","/rekon-epap/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
132,"fast-pay","Fast Register","/fast-pay",,"read",0,"2015-03-08 16:45:45",,1
133,"fast-pay-act","Baca Fast Register","/fast-pay/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
134,"fast-pay-add","Tambah Fast Register","/fast-pay/add",,"add",0,"2015-03-08 16:45:45",,1
135,"fast-pay-edit","Edit Fast Register","/fast-pay/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
136,"fast-pay-delete","Hapus Fast Register","/fast-pay/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
137,"rekening-unit","Rekening OPD","/rekening-unit",,"read",0,"2015-03-08 16:45:45",,1
138,"rekening-unit-act","Baca Rekening OPD","/rekening-unit/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
139,"rekening-unit-add","Tambah Rekening OPD","/rekening-unit/add",,"add",0,"2015-03-08 16:45:45",,1
140,"rekening-unit-delete","Hapus Rekening OPD","/rekening-unit/{id}/{id2}/delete",,"delete",0,"2015-03-08 16:45:45",,1
141,"jns-pajak","Jenis Pajak","/jns/pajak",,"read",0,"2015-03-08 16:45:45",,1
142,"jns-pajak-act","Baca Jenis Pajak","/jns/pajak/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
143,"jns-pajak-add","Tambah Jenis Pajak","/jns/pajak/add",,"add",0,"2015-03-08 16:45:45",,1
144,"jns-pajak-edit","Edit Jenis Pajak","/jns/pajak/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
145,"jns-pajak-delete","Hapus Jenis Pajak","/jns/pajak/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
146,"artbp","TBP","/artbp",,"read",0,"2015-03-08 16:45:45",,1
147,"artbp-act","TBP Baca","/artbp/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
148,"artbp-add","TBP Tambah","/artbp/add",,"add",0,"2015-03-08 16:45:45",,1
149,"artbp-edit","TBP Edit","/artbp/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
150,"artbp-delete","Hapus TBP","/artbp/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
151,"artbp-csv","CSV TBP","/artbp/{csv}/csv",,"read",0,"2015-03-08 16:45:45",,1
152,"artbp-pdf","PDF TBP","/artbp/{pdf}/pdf",,"read",0,"2015-03-08 16:45:45",,1
